Aircraft.damage,Make,Model,Total.Fatal.Injuries,Total.Serious.Injuries,Weather.Condition,Broad.phase.of.flight,Publication.Date,is_destroyed
Destroyed,PIPER,PA24-180,4.0,0.0,UNK,other,1996-09-19,True
Destroyed,CESSNA,172M,3.0,0.0,IMC,Cruise,2007-02-26,True
Destroyed,ROCKWELL,112,2.0,0.0,IMC,Cruise,2000-09-12,True
Destroyed,CESSNA,180,4.0,0.0,IMC,other,2001-11-06,True
Destroyed,BELLANCA,17-30A,0.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,CESSNA,R172K,1.0,0.0,IMC,Takeoff,1983-01-02,True
Destroyed,NAVION,A,1.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,BEECH,19,2.0,0.0,IMC,Cruise,1983-01-02,True
Destroyed,ENSTROM,280C,0.0,0.0,IMC,Taxi,1983-01-02,True
Destroyed,CESSNA,180,3.0,0.0,VMC,other,1983-01-02,True
Substantial,CESSNA,172,0.0,0.0,VMC,Taxi,1983-01-02,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-01-02,False
Substantial,CESSNA,150L,0.0,0.0,VMC,Approach,1983-01-02,False
Substantial,BELL,206L-1,0.0,0.0,VMC,Approach,1983-01-02,False
Minor,PIPER,PA-24-180,0.0,0.0,VMC,Approach,1983-01-03,False
Destroyed,GRUMMAN,AA-5B,2.0,1.0,IMC,Descent,1983-01-03,True
Destroyed,CESSNA,414A,8.0,0.0,IMC,Approach,1983-01-03,True
Substantial,MAULE,M-5-235C,0.0,0.0,VMC,Landing,1983-01-03,False
Substantial,CESSNA,210L,0.0,0.0,VMC,Descent,1983-01-03,False
Substantial,BELLANCA,7GCBC,0.0,0.0,VMC,Maneuvering,1983-01-03,False
Substantial,CESSNA,182,0.0,0.0,VMC,Approach,1983-01-03,False
Substantial,AIR TRACTOR,AT-301,0.0,0.0,VMC,Takeoff,1983-01-03,False
Destroyed,PIPER,PA-28-161,4.0,0.0,VMC,Cruise,1983-01-04,True
Destroyed,PIPER,PA-34-200T,2.0,0.0,VMC,Cruise,1983-01-04,True
Destroyed,CESSNA,T337G,2.0,2.0,IMC,Cruise,1983-01-04,True
Substantial,PIPER,PA-28R-200,0.0,0.0,VMC,Cruise,1983-01-04,False
Destroyed,CESSNA,206,1.0,0.0,VMC,Taxi,1983-01-04,True
Destroyed,NAVION,A,3.0,0.0,IMC,Cruise,1983-01-05,True
Destroyed,PIPER,PA-22,1.0,0.0,IMC,Cruise,1983-01-05,True
Destroyed,PIPER,PA-31,2.0,0.0,VMC,Approach,1983-01-05,True
Minor,ROCKWELL,114,0.0,0.0,VMC,Cruise,1983-01-05,False
Substantial,PIPER,PA-24-250,0.0,1.0,VMC,Descent,1983-01-05,False
Substantial,PIPER,PA-28R-200,0.0,0.0,VMC,Cruise,1983-01-05,False
Substantial,CESSNA,TR182,0.0,0.0,VMC,Taxi,1983-01-05,False
Substantial,CESSNA,A185F,0.0,2.0,VMC,Takeoff,1983-01-05,False
Substantial,CESSNA,340,0.0,0.0,VMC,Approach,1983-01-06,False
Substantial,AEROSPATIALE,SA-316B,0.0,0.0,VMC,Taxi,1983-01-06,False
Substantial,BEECH,35,0.0,0.0,VMC,Climb,1983-01-06,False
Substantial,CESSNA,152,0.0,0.0,VMC,Approach,1983-01-06,False
Substantial,MOONEY,M-20J,0.0,0.0,VMC,Takeoff,1983-01-06,False
Substantial,BOEING,A75,0.0,1.0,IMC,Cruise,1983-01-06,False
Destroyed,CESSNA,210,2.0,0.0,VMC,Cruise,1983-01-07,True
Substantial,BEECH,V35,0.0,0.0,VMC,Approach,1983-01-07,False
Destroyed,CESSNA,172M,1.0,0.0,IMC,Approach,1983-01-08,True
Destroyed,PIPER,PA-28-140,1.0,1.0,VMC,Approach,1983-01-08,True
Substantial,CESSNA,TU206G,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Cruise,1983-01-08,False
Substantial,PIPER,PA-24-250,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Takeoff,1983-01-08,False
Substantial,CESSNA,172N,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,CESSNA,152,0.0,0.0,VMC,Landing,1983-01-08,False
Substantial,SCHLEICHER,ASW 20,0.0,0.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,P210N,0.0,1.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,172,0.0,0.0,VMC,Approach,1983-01-09,False
Substantial,PIPER,PA-34,0.0,0.0,VMC,Taxi,1983-01-09,False
Substantial,CESSNA,305 (L-19),0.0,0.0,VMC,Landing,1983-01-09,False
Substantial,CESSNA,182A,0.0,0.0,VMC,Approach,1983-01-09,False
Destroyed,PIPER,PA-23-250,0.0,2.0,UNK,Approach,1983-01-10,True
Destroyed,CESSNA,172N,0.0,0.0,VMC,Landing,1983-01-10,True
Destroyed,PIPER,23-250,0.0,0.0,IMC,Takeoff,1983-01-10,True
Destroyed,MOONEY,M20G,1.0,1.0,VMC,Cruise,1983-01-10,True
Substantial,CESSNA,TU206F,0.0,0.0,VMC,Landing,1983-01-10,False
Substantial,CESSNA,U206,0.0,0.0,VMC,Cruise,1983-01-10,False
Destroyed,PIPER,PA-28-140,0.0,1.0,VMC,Cruise,1983-01-11,True
Destroyed,CESSNA,210N,4.0,1.0,IMC,Takeoff,1983-01-11,True
